,Material No,Desc,leadtime,max_leadtime,year,forecasted_consum,Regular_req,One-off_req,anticipated_consum,buffer_stock,on_order_stock,present_stock,net_req,oem
2586,220003196,OIL FILTER,710,770,2025,12.89505147,12,12.89505147,48.42599053,27.20325927,0,0,0,atlas
2587,220003196,OIL FILTER,710,770,2026,11.77672533,12,11.77672533,46.2506164,24.8440507,0,0,0,atlas
2588,220003196,OIL FILTER,710,770,2027,12.43668279,12,12.43668279,47.53436926,26.23628972,0,0,0,atlas
2589,220003196,OIL FILTER,710,770,2028,12.0472223,12,12.0472223,46.77678858,25.41468814,0,0,0,atlas
2590,220003196,OIL FILTER,710,770,2029,12.2770545,12,12.2770545,47.22385944,25.89953963,0,0,0,atlas
2591,220003196,OIL FILTER,710,770,2030,12.14142369,12,12.14142369,46.96002965,25.61341437,0,0,0,atlas
2592,220003196,OIL FILTER,710,770,2031,12.22146346,12,12.22146346,47.11572344,25.78226538,0,0,0,atlas
2593,220003196,OIL FILTER,710,770,2032,12.17422962,12,12.17422962,47.02384391,25.68262138,0,0,0,atlas
2594,220003196,OIL FILTER,710,770,2033,12.20210371,12,12.20210371,47.07806475,25.74142426,0,0,0,atlas
2595,220003196,OIL FILTER,710,770,2034,12.18565438,12,12.18565438,47.04606742,25.70672294,0,0,0,atlas
4016,220026293,O-RING,460,523,2025,0,0,0,0,0,0,0,0,
4017,220026293,O-RING,460,523,2026,0,0,0,0,0,0,0,0,
4018,220026293,O-RING,460,523,2027,0,0,0,0,0,0,0,0,
4019,220026293,O-RING,460,523,2028,0,0,0,0,0,0,0,0,
4020,220026293,O-RING,460,523,2029,0,0,0,0,0,0,0,0,
4021,220026293,O-RING,460,523,2030,0,0,0,0,0,0,0,0,
4022,220026293,O-RING,460,523,2031,0,0,0,0,0,0,0,0,
4023,220026293,O-RING,460,523,2032,0,0,0,0,0,0,0,0,
4024,220026293,O-RING,460,523,2033,0,0,0,0,0,0,0,0,
4025,220026293,O-RING,460,523,2034,0,0,0,0,0,0,0,0,
4148,220027684,OIL AIR SEPERATOR KIT,605,605,2025,0.344707837,0,0.344707837,0.571365045,0.571365045,0,0,0,atlas
4149,220027684,OIL AIR SEPERATOR KIT,605,605,2026,0.248409713,0,0.248409713,0.411747607,0.411747607,0,0,0,atlas
4150,220027684,OIL AIR SEPERATOR KIT,605,605,2027,0.334809467,0,0.334809467,0.554958158,0.554958158,0,0,0,atlas
4151,220027684,OIL AIR SEPERATOR KIT,605,605,2028,0.044312144,0,0.044312144,0.073448896,0.073448896,0,0,0,atlas
4152,220027684,OIL AIR SEPERATOR KIT,605,605,2029,0.044631549,0,0.044631549,0.073978321,0.073978321,0,0,0,atlas
4153,220027684,OIL AIR SEPERATOR KIT,605,605,2030,1.883483961,0,1.883483961,3.121939168,3.121939168,0,0,0,atlas
