,Material No,Desc,pr_po_min,pr_po_max,prpo_forecasted,po_gr_min,po_gr_max,pogr_forecasted,gr_gi_min,gr_gi_max,grgi_forecasted,weighted_total
0,100000705,GAS REFRIGERATION 404A,2,2,2,6,6,6,92,92,92,100
1,100201341,ACTIVATED ALUMINA 5MM TO 8MM,178,895,600,77,95,90,33,81,48,738
2,110000141,OIL SYNTHETIC AIRPACK TO BE USED IN SCR*,154,309,226,38,43,41,25,87,55,322
3,140000146,"WIRE ROPE 17MM, 18/7 CLASS 18/7 CONT.,G*",594,594,594,147,147,147,56,56,56,797
4,140005820,CLEANING FLUID FOR SIEMENS GAS TURB,216,360,281,105,391,225,23,48,36,542
5,140008227,"WIRE ROPE DIA-20MM,CONST-6X37 GALV, Z-T*",595,595,595,147,147,147,56,56,56,798
6,140009715,"TURBINE FLOW METER 2""300#",529,529,529,164,164,164,25,25,25,718
7,140009718,"TURBINE FLOW METER 6""300#",529,529,529,164,164,164,25,25,25,718
8,140334139,"WIRE ROPE STEEL 5/8"" DY FORM 18HSLR",544,1055,719,175,259,204,50,105,69,992
9,150006751,"CONTROL VALVE 8"" 300 RF FAIL CLOSE",657,657,657,337,337,337,198,198,198,1192
10,150008078,"TOMMY BAR 3/4"" DRIVE ASME/ANSI B107.10 *",610,610,610,160,160,160,57,57,57,827
11,150008080,TUBE CUTTER WITH ERGONOMIC KNOB SS304 W*,609,609,609,285,285,285,42,42,42,936
12,150008198,"CONTROL VALVE 16"" 150# BW FAIL CLOSE CR*",649,649,649,289,289,289,254,254,254,1192
13,153006046,"CONTROL VALVE-SIZE 1"" -CLASS 900",649,649,649,345,345,345,198,198,198,1192
14,210002178,INDICATOR,23,23,23,245,245,245,80,80,80,348
15,210002716,DIGITAL INPUT BARRIER/ ISOLATED SWITCH *,708,708,708,322,322,322,83,83,83,1113
16,210002717,DIGITAL INPUT BARRIER/ ISOLATED SWITCH *,708,708,708,308,308,308,97,97,97,1113
17,210011194,FILTER FUEL,23,41,31,245,355,295,80,166,144,470
18,210012763,ANALOG OUTPUT CARD,63,63,63,124,124,124,69,69,69,256
19,210013748,SET OF PISTON RINGS,9,263,46,224,292,282,113,1869,255,583
20,210015226,COOLANT-ELC,82,82,82,212,212,212,83,83,83,377
21,210018547,"POWER SUPPLY, 24VDC 10A, SOLA",53,53,53,41,41,41,5,5,5,99
22,210019731,FLEX. EXHAUST,82,82,82,175,175,175,122,122,122,379
23,210020436,SAFETY NET CONTROLLER(CPU),208,208,208,91,91,91,193,193,193,492
24,210020437,8 CHANNEL SAFETY NET AI MODULE 4-20MA,208,208,208,91,91,91,193,193,193,492
25,210020439,8 CHANNEL SAFETY NET DI/DO MODULE 24VDC,208,208,208,91,91,91,193,193,193,492
26,210020440,FTA FOR DI/DO MODULE 24VDC,208,208,208,91,91,91,193,193,193,492
27,210021815,POWER SUPPLY UNIT 20 A - QUINT-PS/ 1AC/*,286,286,286,210,210,210,78,78,78,574
28,210025852,"ASSY, VALVE AUX./LOAD",135,135,135,486,486,486,127,127,127,748
29,210025854,"ASSY, HIGH ANGLE KO ALRM",135,838,496,399,575,528,113,634,219,1243
30,210026018,ENGINE FAN,135,135,135,486,486,486,127,127,127,748
31,210026026,"ADOPTER, PUMP 471 ENGINE",135,135,135,486,486,486,127,127,127,748
32,210026027,DRIVE PLAT,135,135,135,486,486,486,127,127,127,748
33,210026028,SHAFT DIR DRIVE,135,135,135,486,486,486,127,127,127,748
34,210026032,ASSY EXT OIL COOLER,135,135,135,486,486,486,64,64,64,685
35,210026071,"CABLE,TECH 7' D.D LG",135,135,135,486,486,486,127,127,127,748
36,210026082,"KIT, SWING BRAKE DYN/ST",135,135,135,486,486,486,127,127,127,748
37,210026089,"FAN, NONMETALIC 36 '' 8 BLADE",135,135,135,486,486,486,64,64,64,685
38,210026975,ANALOG OUTPUT CARD,63,63,63,124,124,124,69,69,69,256
39,210026976,QUINT-DIODE/40{PX11-PS},286,286,286,210,210,210,78,78,78,574
40,210026977,QUINT PS/24DC/20{PHOENIX},286,286,286,210,210,210,78,78,78,574
41,210027009,KIT GASKET,120,120,120,293,293,293,238,238,238,651
42,210028804,CORE AS-AFTERCOOLER,120,120,120,309,309,309,222,222,222,651
43,210028805,SEAL,120,120,120,293,293,293,238,238,238,651
44,210028806,GASKET,120,120,120,293,293,293,238,238,238,651
45,210028807,SEAL-O-RING,120,120,120,293,293,293,238,238,238,651
46,210028808,PLUG-TETHERED,120,120,120,309,309,309,222,222,222,651
47,210028809,CAMSHAFT AS,120,120,120,293,293,293,238,238,238,651
48,210028810,GEAR AS-CRANKSHAFT DRIVE(80 TEETH),120,120,120,293,293,293,238,238,238,651
49,210028811,BASE-OIL COOLER,120,120,120,309,309,309,222,222,222,651
50,210028812,DAMPER AS-CRANKSHAFT,120,120,120,293,293,293,238,238,238,651
51,210028813,LINE AS-FUEL INJECTION(NO 4),120,120,120,293,293,293,238,238,238,651
52,210028815,CLAMP,120,120,120,293,293,293,238,238,238,651
53,210028816,TUBE AS,120,120,120,293,293,293,238,238,238,651
54,210028817,HOSE,157,157,157,228,228,228,266,266,266,651
55,210028820,RING AS-PISTON(OIL)(STANDARD),120,120,120,293,293,293,238,238,238,651
56,210028821,BODY AS-PISTON(STANDARD),120,120,120,293,293,293,238,238,238,651
57,210028822,COVER AS-OIL PUMP,120,120,120,293,293,293,238,238,238,651
58,210028823,CATRIDGE GP-TURBOCHARGER,120,120,120,293,293,293,238,238,238,651
59,210028824,AFTERCOOLER LAMP;LINES,120,120,120,293,293,293,238,238,238,651
60,210028825,CENTRAL LAMP;LOWER,120,120,120,293,293,293,238,238,238,651
61,210028826,FRONT STRUCTURE,120,120,120,293,293,293,238,238,238,651
62,210028827,FUEL SYSTEM,120,120,120,293,293,293,238,238,238,651
63,210028828,MULTIPLE CYLINDER HEAD,120,120,120,293,293,293,238,238,238,651
64,210028829,TURBOCHARGER INSTALLATION,120,120,120,293,293,293,238,238,238,651
65,210028831,SPRING-GUIDE,120,120,120,379,379,379,152,152,152,651
66,210029870,HYDRAULIC STARTER,188,188,188,99,99,99,67,67,67,354
67,210035991,"FIELD TERMINAL , STANDARD",208,208,208,91,91,91,193,193,193,492
68,210035992,"I/O CARRIER,4 MODULE WITH EARTH BAR",208,208,208,91,91,91,193,193,193,492
69,210036065,AIR STARTER,324,324,324,398,398,398,68,68,68,790
70,210039546,INPUT 100-244 V~3.2 A 50-60 HZ OUTPUT 24,286,286,286,210,210,210,78,78,78,574
71,210039547,FL SWITCH SFNB 8TX,286,286,286,210,210,210,78,78,78,574
72,210106534,SPROCKET,120,120,120,309,309,309,222,222,222,651
73,210135186,CIRCLIP LOCK RING,263,263,263,224,224,224,304,304,304,791
74,210456195,"SWIVEL JOINT 3"" STYLE",365,365,365,262,262,262,77,77,77,704
75,211009389,VALVE INJ.,120,120,120,293,293,293,238,238,238,651
76,211009844,HOSE ASSY,82,82,82,175,175,175,122,122,122,379
