Material No,Material Description,Matched Category,K Factor,Equipment,MTBR,Reliability_365days
62103282,PRESSURE GAUGE 0-7KG/CM2,PRESSURE GAUGE,1.8,,5000,0.991045745
70001002,"TUBE LIGHT FITTINGS LED 16-20W, 4'",LIGHT,1,,3500,0.900967841
70002264,FITTING 190W LED FLOOD LIGHT FLAME PROOF,LIGHT,1,,3500,0.900967841
70079012,"CABLE COPPER,4CX2.5SQMM,EPR CSP SHEAT",CABLE,1.2,10135516,20000,0.991839115
70101265,TUBE LIGHT 4FT 36/40 WATT 220-250  VOLT*,LIGHT,1,,3500,0.900967841
70101997,"HPMV LAMP,250 WATTS,S/T",LAMP,1,,3500,0.900967841
70106580,REFRIGERANT R-22 GAS CYLINDER,CYLINDER,2.2,,3500,0.99310407
110000043,SERVO PRIDE SUPREME 15W-40,OIL/CHEMICAL,1.2,,3500,0.93579915
110000043,SERVO PRIDE SUPREME 15W-40,OIL/CHEMICAL,1.2,10197467,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10021128,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10044933,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10044944,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045005,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045007,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045009,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045014,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045015,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045080,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045083,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045085,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045088,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045093,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045095,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045098,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045100,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045103,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045105,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045108,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045110,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045111,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10045113,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10056591,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10058080,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10131841,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10135428,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10141648,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10141926,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10197268,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10197631,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10198937,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10199020,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10200134,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10200136,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10200137,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10200139,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10201677,3500,0.93579915
110000047,OIL SYNTHETIC FOR GAS TURBINE,OIL/CHEMICAL,1.2,10201689,3500,0.93579915
110000128,OIL SYNTHETIC AIRPACK AIRPACK AIR COMPR*,OIL/CHEMICAL,1.2,10160022,3500,0.93579915
110000128,OIL SYNTHETIC AIRPACK AIRPACK AIR COMPR*,OIL/CHEMICAL,1.2,10160023,3500,0.93579915
110000141,OIL SYNTHETIC AIRPACK TO BE USED IN SCR*,OIL/CHEMICAL,1.2,,3500,0.93579915
110000141,OIL SYNTHETIC AIRPACK TO BE USED IN SCR*,OIL/CHEMICAL,1.2,10044719,3500,0.93579915
