Plant,Material,Storage location,Key,MRP Controller,MRP Type,Material type,Material Group,Val. stock,Val. stock,ValStckVal,ValStckVal,CnsgtStock,CnsgtStock,Val.Stock in May 2025,Increase
"11F2 SHP Process Complex, UT OFFSHO",220102601 MAINTENANCE KIT SH MOL 360,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220102601 MAINTENANCE KIT SH MOL 36011F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,ST,0,INR,0,ST,"7,25,92,853.32",72592853.32
"11F2 SHP Process Complex, UT OFFSHO",110000055 HIGH FLASH HIGH SPEED DIESEL     (HFHSD),11F2FP01                       SHP-PEL-01,"11F2 SHP Process Complex, UT OFFSHO110000055 HIGH FLASH HIGH SPEED DIESEL     (HFHSD)11F2FP01                       SHP-PEL-01",AAS AAS,ND No planning,ZSTO ONGC Stores,"11        Oil, grease and lub",386.703,KL,31057730.6,INR,0,KL,"5,72,00,771.18",26143040.58
"11F2 SHP Process Complex, UT OFFSHO","150001722 GATE VALVE 3 1/8"", 5 M, HWO, FLANGED EN*",11F2NP02                       NH-PEL-02,"11F2 SHP Process Complex, UT OFFSHO150001722 GATE VALVE 3 1/8"", 5 M, HWO, FLANGED EN*11F2NP02                       NH-PEL-02",AAS AAS,ND No planning,ZSTO ONGC Stores,15        Tubing pipe& fitting,1,NO,689565.42,INR,0,NO,"3,27,58,393.33",32068827.91
"11F2 SHP Process Complex, UT OFFSHO",220093477 SHG PGC CS  FT125 KIT-III,11F2NP64                       Vaishvi-Yrd PEL,"11F2 SHP Process Complex, UT OFFSHO220093477 SHG PGC CS  FT125 KIT-III11F2NP64                       Vaishvi-Yrd PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"2,80,89,891.10",28089891.1
"11F2 SHP Process Complex, UT OFFSHO",0C9950000 FIRE EXTINGUISHER,11F2FN01                       SHP-Main-01,"11F2 SHP Process Complex, UT OFFSHO0C9950000 FIRE EXTINGUISHER11F2FN01                       SHP-Main-01",AAA AAA,ND No planning,ZCAP ONGC Capital,0C        CAPITAL ITEMS,0,NO,0,INR,0,NO,"2,60,93,373.71",26093373.71
"11F2 SHP Process Complex, UT OFFSHO",220022004 THRUST BEARING ASSY (WITHOUT COLLAR),11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220022004 THRUST BEARING ASSY (WITHOUT COLLAR)11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,8,ST,34005620.96,INR,0,ST,"2,12,53,513.10",-12752107.86
"11F2 SHP Process Complex, UT OFFSHO",221358765 THRUST BEARING ASSEMBLY,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO221358765 THRUST BEARING ASSEMBLY11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,5,ST,20750203.07,INR,0,ST,"2,07,50,203.07",0
"11F2 SHP Process Complex, UT OFFSHO",220017035 PAD J/BRG & PAD J/BRG WITH RTD,11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220017035 PAD J/BRG & PAD J/BRG WITH RTD11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,17,ST,26135370.69,INR,0,ST,"1,84,48,496.96",-7686873.73
"11F2 SHP Process Complex, UT OFFSHO",220093476 SHG PGC CS  FT125 KIT-II,11F2NP64                       Vaishvi-Yrd PEL,"11F2 SHP Process Complex, UT OFFSHO220093476 SHG PGC CS  FT125 KIT-II11F2NP64                       Vaishvi-Yrd PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,0,NO,0,INR,0,NO,"1,75,93,338.00",17593338
"11F2 SHP Process Complex, UT OFFSHO","220021993 JOURNAL BRG PAD SET,SUC/DISCH SIDE (3.5*",11F2FP25                       Maint.Spares-PEL,"11F2 SHP Process Complex, UT OFFSHO220021993 JOURNAL BRG PAD SET,SUC/DISCH SIDE (3.5*11F2FP25                       Maint.Spares-PEL",AAP AAP,ND No planning,ZSPR ONGC Spares,22        Spare-Prod equip etc,10,ST,14997565.42,INR,0,ST,"1,49,97,565.42",0
