Material,Material Type,Description,Base UOM,Material Group
10000001,ZSTO,"HEAVY WEIGHT DRILL PIPE 3-1/2"" 26PPF G-105",NO,1
10000002,ZSTO,"DRILL PIPE 5"" 19.50PPF G-105 LH IF 5""OD,G-105,19.5 PPF,LH IF DRILL PIPE",M,1
10000003,ZSTO,"DRILL PIPE 3-1/2"" 13.30PPF G-105 LH REG",M,1
10000004,ZSTO,"5 1/2"" Drill Pipe, Grade S-135, 24.7PPF",M,1
10000005,ZSTO,"DRILL PIPE 5-1/2"" 21.90PPF S-135,R-II,RH",M,1
10000006,ZSTO,"HEAVY WEIGHT DRILL PIPE 5 1/2"" TJ OD:71/2"" ID:33/8 WITH 51/2"" FH CONN",NO,1
10000007,ZSTO,"DRILL PIPE 5-1/2"" 21.90PPF S-135,R-II,RH SHORT DRILL PIPE, L-1.5M,T/JOINT OD-7"" ID-4""",M,1
10000008,ZSTO,"DRILL PIPE 5-1/2"" 21.90PPF S-135,R-II,RH SHORT DRILL PIPE, L-3M, T/JOINT, OD-7"", ID-4""",M,1
10000009,ZSTO,"DRILL PIPE 5-1/2"" 21.90PPF S-135,R-II,RH SHORT DRILL PIPE, L-5M, T/JOINT OD-7"", ID-4""",M,1
10000010,ZSTO,"DRILL PIPE 3-1/2"" 13.30PPF G-105 LH IF",M,1
10000011,ZSTO,"DRILL PIPE 5"" 19.50PPF S-135 LH IF NC 50 CONNECTION,RANGE II",M,1
10000012,ZSTO,"DRILL PIPE SHORT,5""OD,LENGTH-2M 19.5 PPF, GR-S-135 NC-50 RH 4 1/2"" IF PIN X 4 1/2"" PIN",NO,1
10000013,ZSTO,"DRILL PIPE SHORT,5""OD,LENGTH-2M 19.5 PPF, GR-S-135 NC 50 LH",NO,1
10000014,ZSTO,"DRILL PIPE SHORT 5""OD,LENGTH 3M 19.5 PPF, GR -S-135 NC 50 LH 4-1/2""IF PIN X 4-1/2""IF BO",NO,1
10000015,ZSTO,"DRILL PIPE 3-1/2"" 13.30PPF G-105 RH IFSHORT 3 MTR",NO,1
10000016,ZSTO,"DRILL PIPE 3-1/2"" 13.30PPF G-105 RH IFSHORT-2M",NO,1
10000017,ZSTO,"DRILL PIPE 3-1/2"" 13.30PPF G-105 RH IFSHORT-5MTR 2 7/8"" IFB X 2 7/8"" IFP,TOOL JT OD 5""",NO,1
10000018,ZSTO,"DRILL PIPE 3-1/2"" 13.30PPF G-105 RH IFRANGE-III",M,1
10000019,ZSTO,"HEAVY WEIGHT DRILL PIPE 5"" 50PPF  * RANGE-III",NO,1
10000020,ZSTO,"HEAVY WEIGHT DRILL PIPE 3-1/2"" 26PPF G-105 RANGE-III",NO,1
10000021,ZSTO,"DRILL PIPE 2-7/8"" 10.40PPF G-105 RH IFRANGE-III",M,1
10000022,ZSTO,"DRILL PIPE 2-7/8"" 10.40PPF S-135 LH IF2-7/8"" API IF (NC-31) L.H R-II",M,1
10000023,ZSTO,"DRILL PIPE SHORT, 5""IUE S-135,19.5PPF,1M RH",NO,1
10000024,ZSTO,"DRILL PIPE SHORT, 5""IUE S-135,19.5PPF,2.5M RH",NO,1
10000025,ZSTO,"DRILL PIPE SHORT, 5""IUE S-135,19.5PPF,5M RH",NO,1
10000026,ZSTO,"DRILL PIPE SHORT, 5""IUE S-135,19.5PPF,6M RH",NO,1
10000027,ZSTO,"DRILL PIPE 2-7/8"" 6.45PPF ALUMINUM DRILLABLE",NO,1
10001003,ZSTO,"DP2-7/8""OD,EU,G-105,10.4PPF,TJOD4-1/8""/ID-2"",TAPER18DEG DRILL",M,1
10001005,ZSTO,"DRILL PIPE2-7/8"",EU,E-75,10.4PPF,TJ-OD4-1/8""/ID-2"",TAPER-18DEG",M,1
10001006,ZSTO,"DRILL PIPE 2-3/8"",EU,G-105,TJ-OD3-3/8""/ID-1-3/4"",TAPER18DEG",M,1
10001007,ZSTO,"DRILL PIPE3-1/2"",EU,G-105,13.3PPF,TJ-OD-5""/ID-2-7/16"",TAPER18-DEG",M,1
10001008,ZSTO,"DRILL PIPE-5"",IEU,S-135,19.5PPF,TJ-OD-6-5/8""/ID-2-3/4"",TAPER18-DEG",M,1
10001009,ZSTO,"DRILL PIPE-IEU,G-105,19.5PPF,TJ-OD-6-5/8""/ID-3-1/4"",TAPER-18 DEG",M,1
10001013,ZSTO,"DRILL PIPE 2-7/8"" OD 10.4PPF RH R-II S-135 GRADE NC 31 2-7/8"" IF CONNECTION",M,1
10001014,ZSTO,"DRILL PIPE 2-3/8"" OD 6.65PPF RH R-II S-135 GRADE NC 26 2-3/8"" IF CONNECTION",M,1
10001017,ZSTO,"DRILL PIPE 2-7/8"",10.4PPF,S-135,R.H",M,1
10001019,ZSTO,"DRILL PIPE 2-7/8"" IF LH  10.4#  G-105 RII EUE",NO,1
10001021,ZSTO,"DRILL PIPE 2-7/8""OD,10.4PPF,E-75,IU,RH,2-3/8""IF,T/J(NC-26SH)",M,1
10001022,ZSTO,"DRILL PIPE SHORT 5""IEU,RH,S-135,19.5PPF,T/J OD6-5/8"",ID2-3/4"",NC-50,1.5MR",NO,1
10001023,ZSTO,"DRILL PIPE SHORT 5""IEU,RH,S-135,19.5PPF,T/J OD6-5/8"",ID2-3/4"",NC-50,3 MR",NO,1
10001024,ZSTO,"DRILL PIPE SHORT 5""IEU,RH,G-105,19.5PPF,T/J OD6-5/8"",ID3-1/4"",NC-50,1.5MR",NO,1
10001025,ZSTO,"DRILL PIPE SHORT5""IEU,RH,G-105,19.5PPF,T/J OD6-5/8"",ID3-1/4"",NC-50,3MR",NO,1
10001026,ZSTO,"DRILL PIPE SHORT 5""IEU,RH,G-105,19.5PPF,T/J OD6-5/8"",ID3-1/4"",NC-50,4MR",NO,1
10001027,ZSTO,"DRILL PIPE SHORT 2-7/8""EU,RH,G-105,10.4PPF,T/J OD4-1/8"",ID2"",NC-31,1MR",NO,1
10001028,ZSTO,"DRILL PIPE SHORT 2-7/8""EU,RH,G-105,10.4PPF,T/J OD4-1/8"",ID2"",NC-31,2MR",NO,1
10001029,ZSTO,"DRILL PIPE SHORT 2-7/8""EU,RH,G-105,10.4PPF,T/J OD4-1/8"".ID2"",NC-31,3MR",NO,1
10001030,ZSTO,"DRILL PIPE SHORT 2-7/8""EU,RH,G-105,10.4PPF,T/J OD4-1/8"",ID-2"",NC-31,4MR",NO,1
10001031,ZSTO,"DRILL PIPE (HW)3-1/2""OD 25.3PPF T/JOD 4-3/4"" 3-1/2""IF(NC38)RH B-UP P-DN 30.5FT-L",NO,1
10001063,ZSTO,DRILL PIPE,NO,1
10001070,ZSTO,"DRILL PIPE,2.7/8"",10.4PPF,GRADE S-135,CONNECTION WT-26,RANGE-II",M,1
10001076,ZSTO,"2 7/8"" R H WITH CUT TOOL JOINT",M,1
10001091,ZSTO,"DRILL PIPE 2-7/8"" WOTJ K9RH",M,1
10002002,ZSTO,"DRILL PIPE 3-1/2"" D-10 RH",M,1
10003034,ZSTO,"DRILL PIPE 5"" 19.5PPF G GRADE",M,1
10003051,ZSTO,"DRILL PIPE 2-3/8"" G-105",M,1
10003056,ZSTO,"DRILL PIPE 2-3/8""",M,1
10003079,ZSTO,"DRILL PIPE 2-7/8"" NE-75 10.4PPF",M,1
10003102,ZSTO,"DRILL PIPE 3 1/2"" 13 3 LBS E",M,1
10003203,ZSTO,"DRILL PIPE 5"" OD 50PPF HEAVY WEIGHT",NO,1
10003206,ZSTO,"DRILL PIPE 5"" OD E-75 19.5PPF WTJ RH",M,1
10003209,ZSTO,"DRILL PIPE 5"" E GRADE",M,1
10003212,ZSTO,"LEFT HAND 5"" DRILLPIPE 19.5 PPF 'G'GRADE",M,1
10003214,ZSTO,"DRILL PIPE 5"", G-GD,R-III,19.5PPF",M,1
10056004,ZSTO,"DRILL PIPE 4-1/4"" WTJL,E-GD,R-1",M,1
10101082,ZSTO,"2 7/8"" R H MAXICON TYPE",M,1
10101159,ZSTO,"2 7/8"" L H WITHOUT TOOL JOINT",M,1
